id,Z-0_MA_AA,Z-1_MA_AA,Z-2_MA_AA,Z-3_MA_AA,Z-4_MA_AA,Z-5_MA_AA,Z-6_MA_AA,Z-7_MA_AA,Z-8_MA_AA,I-0_MA_AA,I-1_MA_AA,I-2_MA_AA,I-3_MA_AA,I-4_MA_AA,I-5_MA_AA,I-6_MA_AA,I-7_MA_AA,I-8_MA_AA,T-0_MA_AA,T-1_MA_AA,T-2_MA_AA,T-3_MA_AA,T-4_MA_AA,T-5_MA_AA,T-6_MA_AA,T-7_MA_AA,T-8_MA_AA,S-0_MA_AA,S-1_MA_AA,S-2_MA_AA,S-3_MA_AA,S-4_MA_AA,S-5_MA_AA,S-6_MA_AA,S-7_MA_AA,S-8_MA_AA,chi-0_MA_AA,chi-1_MA_AA,chi-2_MA_AA,chi-3_MA_AA,chi-4_MA_AA,chi-5_MA_AA,chi-6_MA_AA,chi-7_MA_AA,chi-8_MA_AA,Z-0_MD_AA,Z-1_MD_AA,Z-2_MD_AA,Z-3_MD_AA,Z-4_MD_AA,Z-5_MD_AA,Z-6_MD_AA,Z-7_MD_AA,Z-8_MD_AA,I-0_MD_AA,I-1_MD_AA,I-2_MD_AA,I-3_MD_AA,I-4_MD_AA,I-5_MD_AA,I-6_MD_AA,I-7_MD_AA,I-8_MD_AA,T-0_MD_AA,T-1_MD_AA,T-2_MD_AA,T-3_MD_AA,T-4_MD_AA,T-5_MD_AA,T-6_MD_AA,T-7_MD_AA,T-8_MD_AA,S-0_MD_AA,S-1_MD_AA,S-2_MD_AA,S-3_MD_AA,S-4_MD_AA,S-5_MD_AA,S-6_MD_AA,S-7_MD_AA,S-8_MD_AA,chi-0_MD_AA,chi-1_MD_AA,chi-2_MD_AA,chi-3_MD_AA,chi-4_MD_AA,chi-5_MD_AA,chi-6_MD_AA,chi-7_MD_AA,chi-8_MD_AA,Z-0_FA_AA,Z-1_FA_AA,Z-2_FA_AA,Z-3_FA_AA,Z-4_FA_AA,Z-5_FA_AA,Z-6_FA_AA,Z-7_FA_AA,Z-8_FA_AA,I-0_FA_AA,I-1_FA_AA,I-2_FA_AA,I-3_FA_AA,I-4_FA_AA,I-5_FA_AA,I-6_FA_AA,I-7_FA_AA,I-8_FA_AA,T-0_FA_AA,T-1_FA_AA,T-2_FA_AA,T-3_FA_AA,T-4_FA_AA,T-5_FA_AA,T-6_FA_AA,T-7_FA_AA,T-8_FA_AA,S-0_FA_AA,S-1_FA_AA,S-2_FA_AA,S-3_FA_AA,S-4_FA_AA,S-5_FA_AA,S-6_FA_AA,S-7_FA_AA,S-8_FA_AA,chi-0_FA_AA,chi-1_FA_AA,chi-2_FA_AA,chi-3_FA_AA,chi-4_FA_AA,chi-5_FA_AA,chi-6_FA_AA,chi-7_FA_AA,chi-8_FA_AA,target_barrier
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_bromide_1_smi1_1_s_1,5929,8239,3311,1463,0,0,0,0,0,1,4,7,19,0,0,0,0,0,16,44,104,76,0,0,0,0,0,1.988,6.077,7.177,8.305,0,0,0,0,0,4.84,21.714,40.348,91.96,0,0,0,0,0,0,201,496,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,57,0,0,0,0,0,0,1.33,4.78,20.9,0,0,0,0,0,0,-1.07,-2.94,0,0,0,0,0,0,9652,19168,16300,10100,4126,972,198,0,0,31,60,112,152,252,156,198,0,0,172,436,668,812,762,552,198,0,0,12.321,32.202,51.712,65.318,63.229,35.08,19.028,0,0,169.826,340.976,589.49,867.66,1374.045,913.968,958.32,0,0,6.4
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_chloride_1_smi1_1_s_1,5929,6853,3311,1463,0,0,0,0,0,1,4,7,19,0,0,0,0,0,16,44,104,76,0,0,0,0,0,1.988,5.823,7.177,8.305,0,0,0,0,0,4.84,22.154,40.348,91.96,0,0,0,0,0,0,219,496,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,57,0,0,0,0,0,0,1.51,4.78,20.9,0,0,0,0,0,0,-1.27,-2.94,0,0,0,0,0,0,8716,16396,13708,8552,3442,972,198,0,0,31,60,112,152,252,156,198,0,0,172,436,668,812,762,552,198,0,0,11.921,31.695,50.593,63.486,61.109,35.08,19.028,0,0,171.05,341.856,592.254,874.996,1390.765,913.968,958.32,0,0,7.9
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,5929,6006,3773,1540,0,0,0,0,0,1,4,8,20,0,0,0,0,0,16,48,112,80,0,0,0,0,0,1.988,5.414,8.206,8.742,0,0,0,0,0,4.84,20.812,45.958,96.8,0,0,0,0,0,0,230,567,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,60,0,0,0,0,0,0,1.8,5.46,22,0,0,0,0,0,0,-0.66,-3.29,0,0,0,0,0,0,8500,14786,13060,8624,3684,1286,236,0,0,33,64,116,160,272,208,236,0,0,180,456,708,912,924,680,236,0,0,12.042,32.395,51.3,65.948,67.052,46.835,22.68,0,0,178.909,363.397,606.264,897.542,1463.707,1207.844,1142.24,0,0,5.4
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,5929,6006,3850,1463,0,0,0,0,0,1,4,8,19,0,0,0,0,0,16,48,108,76,0,0,0,0,0,1.988,5.414,8.178,8.305,0,0,0,0,0,4.84,20.812,47.036,91.96,0,0,0,0,0,0,230,566,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,57,0,0,0,0,0,0,1.8,5.48,20.9,0,0,0,0,0,0,-0.66,-3.78,0,0,0,0,0,0,8512,14786,13202,8614,3626,1238,198,0,0,32,62,114,158,266,194,198,0,0,176,448,696,884,852,590,198,0,0,11.918,31.913,50.791,64.95,64.921,43.443,19.028,0,0,176.808,354.676,597.2,894.634,1451.276,1168.112,958.32,0,0,3.2
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,5929,6083,3773,2079,0,0,0,0,0,1,4,8,20,0,0,0,0,0,16,48,112,80,0,0,0,0,0,1.988,5.386,8.206,9.235,0,0,0,0,0,4.84,21.89,45.958,99.528,0,0,0,0,0,0,229,567,1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,60,0,0,0,0,0,0,1.82,5.46,21.65,0,0,0,0,0,0,-1.15,-3.29,-1.24,0,0,0,0,0,8576,15036,13304,9788,4730,1888,502,0,0,33,64,116,160,272,208,236,0,0,180,456,708,912,924,680,236,0,0,12.353,32.821,51.66,66.732,68.994,50.398,26.803,0,0,188.642,374.376,622.731,920.971,1521.808,1253.327,1245.904,0,0,11.5
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,5929,6083,3773,2695,0,0,0,0,0,1,4,8,20,0,0,0,0,0,16,48,112,80,0,0,0,0,0,1.988,5.386,8.206,9.785,0,0,0,0,0,4.84,21.89,45.958,97.636,0,0,0,0,0,0,229,567,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,60,0,0,0,0,0,0,1.82,5.46,21.26,0,0,0,0,0,0,-1.15,-3.29,-0.38,0,0,0,0,0,8768,15132,13416,11020,5882,2576,806,0,0,33,64,116,160,272,208,236,0,0,180,456,708,912,924,680,236,0,0,13.02,33.39,52.214,67.832,71.42,54.368,31.397,0,0,183.464,369.99,617.502,917.187,1509.923,1221.782,1174.008,0,0,10.3
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,5929,7315,3311,1463,0,0,0,0,0,1,6,7,19,0,0,0,0,0,36,102,156,114,0,0,0,0,0,1.988,7.247,7.177,8.305,0,0,0,0,0,4.84,37.026,40.348,91.96,0,0,0,0,0,0,367,496,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,95,0,0,0,0,0,0,3.32,4.78,20.9,0,0,0,0,0,0,-3.63,-2.94,0,0,0,0,0,0,8604,17544,14700,9068,3670,972,198,0,0,33,68,126,180,328,156,198,0,0,208,576,900,1200,990,552,198,0,0,12.256,36.417,57.746,73.768,73.007,35.08,19.028,0,0,193.973,413.43,709.344,1122.952,1955.901,913.968,958.32,0,0,2.9
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,5929,6160,3388,1463,0,0,0,0,0,1,4,8,19,0,0,0,0,0,16,48,108,76,0,0,0,0,0,1.988,5.316,7.614,8.305,0,0,0,0,0,4.84,22.77,45.188,91.96,0,0,0,0,0,0,228,572,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,57,0,0,0,0,0,0,1.87,5.88,20.9,0,0,0,0,0,0,-1.55,-2.94,0,0,0,0,0,0,8492,15026,12566,7922,3186,1010,198,0,0,32,62,114,158,266,194,198,0,0,176,448,696,884,852,590,198,0,0,11.412,31.089,49.228,61.749,60.024,38.731,19.028,0,0,177.738,358.224,605.804,915.67,1494.869,1097.888,958.32,0,0,13
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,5929,6237,3311,1463,0,0,0,0,0,1,4,7,19,0,0,0,0,0,16,44,104,76,0,0,0,0,0,1.988,5.189,7.177,8.305,0,0,0,0,0,4.84,23.958,40.348,91.96,0,0,0,0,0,0,227,496,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,57,0,0,0,0,0,0,1.96,4.78,20.9,0,0,0,0,0,0,-2.09,-2.94,0,0,0,0,0,0,8508,15164,12556,7864,3138,972,198,0,0,31,60,112,152,252,156,198,0,0,172,436,668,812,762,552,198,0,0,11.205,30.426,47.794,58.905,55.808,35.08,19.028,0,0,176.904,345.464,603.586,905.073,1459.317,913.968,958.32,0,0,14.4
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,5929,8239,3311,1848,231,0,0,0,0,1,4,7,19,3,0,0,0,0,16,44,104,88,12,0,0,0,0,1.988,6.077,7.177,8.897,1.311,0,0,0,0,4.84,21.714,40.348,92.73,14.52,0,0,0,0,0,201,496,1439,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,54,9,0,0,0,0,0,1.33,4.78,20.48,3.3,0,0,0,0,0,-1.07,-2.94,-0.35,0,0,0,0,0,9690,19274,16408,10906,5598,1938,594,108,0,34,66,124,158,258,174,234,108,0,190,472,698,848,840,750,450,108,0,13.046,34.156,54.223,67.86,68.859,45.418,31.862,10.379,0,186.008,376.764,660.443,902.86,1408.209,1021.302,1188,522.72,0,6.9
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,5929,6853,3311,1848,231,0,0,0,0,1,4,7,19,3,0,0,0,0,16,44,104,88,12,0,0,0,0,1.988,5.823,7.177,8.897,1.311,0,0,0,0,4.84,22.154,40.348,92.73,14.52,0,0,0,0,0,219,496,1439,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,54,9,0,0,0,0,0,1.51,4.78,20.48,3.3,0,0,0,0,0,-1.27,-2.94,-0.35,0,0,0,0,0,8754,16502,13816,9358,4734,1830,594,108,0,34,66,124,158,258,174,234,108,0,190,472,698,848,840,750,450,108,0,12.646,33.649,53.103,66.028,66.588,45.083,31.862,10.379,0,187.232,377.644,663.207,910.196,1425.069,1023.942,1188,522.72,0,8.4
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,5929,6006,3773,1925,231,0,0,0,0,1,4,8,20,3,0,0,0,0,16,48,112,92,12,0,0,0,0,1.988,5.414,8.206,9.334,1.311,0,0,0,0,4.84,20.812,45.958,97.57,14.52,0,0,0,0,0,230,567,1515,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,57,9,0,0,0,0,0,1.8,5.46,21.58,3.3,0,0,0,0,0,-0.66,-3.29,-0.35,0,0,0,0,0,8538,14892,13168,9430,4866,2138,678,114,0,36,70,128,166,278,226,278,114,0,198,492,738,948,1008,896,506,114,0,12.768,34.349,53.81,68.491,72.287,56.912,37.132,10.955,0,195.091,399.185,677.217,932.742,1497.584,1311.551,1407.12,551.76,0,6.5
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,5929,6006,3850,1848,231,0,0,0,0,1,4,8,19,3,0,0,0,0,16,48,108,88,12,0,0,0,0,1.988,5.414,8.178,8.897,1.311,0,0,0,0,4.84,20.812,47.036,92.73,14.52,0,0,0,0,0,230,566,1439,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,54,9,0,0,0,0,0,1.8,5.48,20.48,3.3,0,0,0,0,0,-0.66,-3.78,-0.35,0,0,0,0,0,8550,14892,13310,9420,4808,2100,636,108,0,35,68,126,164,272,212,240,108,0,194,484,726,920,936,800,456,108,0,12.643,33.868,53.301,67.492,70.156,53.504,33.182,10.379,0,192.991,390.464,668.153,929.834,1485.153,1272.162,1228.128,522.72,0,4.8
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,5929,6083,3773,2464,231,0,0,0,0,1,4,8,20,3,0,0,0,0,16,48,112,92,12,0,0,0,0,1.988,5.386,8.206,9.828,1.311,0,0,0,0,4.84,21.89,45.958,100.298,14.52,0,0,0,0,0,229,567,1508,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,57,9,0,0,0,0,0,1.82,5.46,21.23,3.3,0,0,0,0,0,-1.15,-3.29,-1.59,0,0,0,0,0,8614,15142,13412,10594,5922,2746,1014,156,0,36,70,128,166,278,226,278,114,0,198,492,738,948,1008,896,506,114,0,13.078,34.775,54.171,69.274,74.212,60.438,41.549,11.606,0,204.824,410.164,693.684,956.171,1556.028,1363.502,1511.652,568.128,0,12.1
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,5929,6083,3773,3080,231,0,0,0,0,1,4,8,20,3,0,0,0,0,16,48,112,92,12,0,0,0,0,1.988,5.386,8.206,10.378,1.311,0,0,0,0,4.84,21.89,45.958,98.406,14.52,0,0,0,0,0,229,567,1500,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,57,9,0,0,0,0,0,1.82,5.46,20.84,3.3,0,0,0,0,0,-1.15,-3.29,-0.73,0,0,0,0,0,8806,15238,13524,11826,7074,3434,1398,204,0,36,70,128,166,278,226,278,114,0,198,492,738,948,1008,896,506,114,0,13.745,35.344,54.724,70.374,76.638,64.408,46.471,12.332,0,199.647,405.778,688.455,952.387,1544.143,1331.957,1439.154,556.776,0,11.1
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,5929,7315,3311,1848,231,0,0,0,0,1,6,7,19,3,0,0,0,0,36,102,156,132,18,0,0,0,0,1.988,7.247,7.177,8.897,1.311,0,0,0,0,4.84,37.026,40.348,92.73,14.52,0,0,0,0,0,367,496,1439,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,92,15,0,0,0,0,0,3.32,4.78,20.48,3.3,0,0,0,0,0,-3.63,-2.94,-0.35,0,0,0,0,0,8642,17650,14808,9874,5022,1866,594,108,0,36,74,138,186,334,186,234,108,0,226,612,930,1248,1116,786,450,108,0,12.981,38.371,60.256,76.31,79.334,46.961,31.862,10.379,0,210.155,449.218,780.297,1158.152,1994.937,1113.174,1188,522.72,0,4.5
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,5929,6160,3388,1848,231,0,0,0,0,1,4,8,19,3,0,0,0,0,16,48,108,88,12,0,0,0,0,1.988,5.316,7.614,8.897,1.311,0,0,0,0,4.84,22.77,45.188,92.73,14.52,0,0,0,0,0,228,572,1439,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,54,9,0,0,0,0,0,1.87,5.88,20.48,3.3,0,0,0,0,0,-1.55,-2.94,-0.35,0,0,0,0,0,8530,15132,12674,8728,4388,1824,600,108,0,35,68,126,164,272,212,240,108,0,194,484,726,920,936,800,456,108,0,12.137,33.043,51.738,64.291,65.2,48.325,32.438,10.379,0,193.92,394.012,676.757,950.87,1529.369,1213.098,1217.04,522.72,0,12.6
