code_name,solub,smiles,partial charges,mulliken charges,cm5 charges,FUKUI+,FUKUI-,FUKUIrad,s proportion,p proportion,d proportion,Coordination numbers,Dispersion coefficient C6,Polarizability alpha,FOD,FOD s proportion,FOD p proportion,FOD d proportion,DBSTEP_Vbur,total energy,HOMO-LUMO gap/eV,electronic energy,Dipole module/D,Total charge,HOMO,LUMO,Fermi-level/eV,Total dispersion C6,Total dispersion C8,Total polarizability alpha,Total FOD,NHOHCount,FractionCSP3,NOCount,NumAliphaticRings,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,TPSA,MolLogP
mol_42,-0.15,OCCCC=C,,,,,,,,,,,,,,,,,,-19.82639992456442,5.184057268316746,-20.086246573788888,1.803903238570658,0,-10.886777539086832,-5.702712239594148,-8.29474488934049,1958.792609237656,42139.91336946597,67.31409758316744,0.012799999999999,1,0.6000000000000001,1,0,0,1,1,1,4,20.23,0.9449
mol_45,-0.63,CC(C)OC=O,,,,,,,,,,,,,,,,,,-20.77734275,4.7702145,-20.98470654,2.564,0,-11.6983,-6.9281,-9.3132,1552.100946,32781.732924,58.275329,0.0206,0,0.75,2,0,0,2,0,2,3,26.3,0.5678000000000001
mol_46,-1.55,CCCCCC(C)O,,,,,,,,,,,,,,,,,,-27.21709485177382,11.993479650353812,-27.561819746161888,2.024974116325046,0,-10.971194398925237,1.022278474765565,-4.974457962079836,3815.7974103948127,79057.72811463728,91.29599722174024,0.0,1,1.0,1,0,0,1,1,1,7,20.23,1.9475
mol_51,-3.66,CCCCCCC#C,,,,,,,,,,,,,,,,,,-24.201827739732977,6.842096661372386,-24.62949631689388,0.671916266075208,0,-10.793357636841185,-3.951262071635633,-7.372309854238408,3785.113150732632,83344.86980617221,93.0534958457857,0.0031,0,0.75,0,0,0,0,0,0,5,0.0,2.59
mol_56,-0.62,Cc1ccccc1O,,,,,,,,,,,,,,,,,,-23.12216111,4.22382642,-23.47483547,2.01,0,-10.2425,-6.0187,-8.1306,2810.782847,66858.731932,83.848419,0.0436,1,0.142857142857142,1,0,1,1,1,1,2,20.23,1.70062
mol_58,-4.14,Cc1ccc(C)c2ccccc12,,,,,,,,,,,,,,,,,,-31.80872793,2.80863978,-32.3767435,0.099,0,-9.7934,-6.9848,-8.3891,6709.619152,163443.567475,130.95208,0.1768,0,0.166666666666666,0,0,2,0,0,0,2,0.0,3.456640000000002
mol_60,-0.19,CCCC(=O)C,,,,,,,,,,,,,,,,,,-19.86008788718249,3.823961825880476,-20.11236863139353,3.399674263410741,0,-10.730800707513987,-6.906838152181868,-8.818850159829603,1886.2952252085531,40242.81305188476,64.78935421491506,0.049702040952993,0,0.8,1,0,0,1,0,1,4,17.07,1.3755
mol_62,-0.82,CCCOC(=O)CC,,,,,,,,,,,,,,,,,,-27.113334570674745,4.823927855905307,-27.415596742574827,2.138405067170934,0,-11.240531264308732,-6.416597453195244,-8.828546889853454,3021.9187686000487,64041.08615038428,81.35311859602665,0.019363818144312,0,0.833333333333333,2,0,0,2,0,2,5,26.3,1.3496
mol_64,-0.8,Nc1ccc(O)cc1,,,,,,,,,,,,,,,,,,-23.38734453,3.53731688,-23.73031418,2.393,0,-9.5159,-5.9786,-7.7473,2621.565722,62292.209943,81.245882,0.0727,3,0.0,2,0,1,2,2,2,2,46.25,0.974399999999999
mol_1127,-3.18,CCC(C)C,,,,,,,,,,,,,,,,,,-16.83010877,13.48282854,-17.07831758,0.023,0,-11.3667,2.1161,-4.6253,1816.106216,37117.905117,63.493934,0.0,0,1.0,0,0,0,0,0,0,4,0.0,2.0524
