code_name,smiles,solubility
mol_5,c1ccsc1,-1.33
mol_502,Brc1ccc(Br)cc1,-4.07
mol_506,CCOC=C,-0.85
mol_507,CCC#C,-1.24
mol_510,Clc1ccc(Cl)cc1,-3.27
mol_517,CC#N,0.26
mol_520,ClCC(Cl)(Cl)Cl,-2.18
mol_521,CCCCO,0
mol_523,Clc1cc(Cl)cc(Cl)c1,-4.48
mol_527,CC(=C)C,-2.33
mol_528,O=Cc1ccccc1,-1.19
mol_529,CC(=C)C(=C)C,-2.4
mol_532,C1c2ccccc2c3ccccc13,-5
mol_533,CC1CCCCC1,-3.85
mol_539,CCCI,-2.29
mol_541,CCCO,0.62
mol_554,CCCCI,-2.96
mol_557,FC(F)(F)c1ccccc1,-2.51
mol_573,Nc1ccccc1Cl,-1.52
mol_574,COc1cccc(Cl)c1,-2.78
mol_578,BrC(Cl)Cl,-1.54
mol_582,CBr,-0.79
mol_590,Fc1ccccc1Br,-2.7
mol_595,C1CCCC1,-2.64
mol_596,Cc1ccccc1N,-2.21
mol_599,CC(C)C=C,-2.73
mol_601,CC,-1.36
mol_602,Clc1ccccc1Cl,-3.05
mol_606,CC(=O)N,1.58
mol_615,BrCBr,-1.17
mol_627,CC1CO1,-0.59
mol_632,Nc1ccccc1,-0.41
mol_639,CCBr,-1.09
mol_664,ClCCCCl,-1.62
mol_665,Fc1cccc(Br)c1,-2.67
mol_666,Clc1ccc(Br)cc1,-3.63
mol_668,CCC=C,-1.94
mol_671,FC(F)(Cl)C(F)(Cl)Cl,-3.04
mol_672,CCC#N,0.28
mol_681,COc1ccccc1O ,-1.96
mol_690,C=C,-0.4
mol_693,Oc1ccc(Cl)c(Cl)c1Cl,-2.67
mol_694,COc1ccccc1,-1.85
mol_705,Nc1ccc(Cl)cc1,-1.66
mol_707,c1ccoc1,-0.82
mol_715,Brc1ccccc1,-2.55
mol_721,ClC=C,-1.75
mol_723,BrC(Br)(Br)Br,-3.14
mol_733,C1CC=CC1,-2.1
mol_754,C/C1CCCCC1\C,-4.3
mol_763,CC=C(C)C,-2.56
mol_764,Cc1ccc(C)c(C)c1,-3.31
mol_771,CCC=O,0.58
mol_774,ClC(Cl)Cl,-1.17
mol_786,NC(=O)N,0.96
mol_788,Brc1cccc(Br)c1,-3.54
mol_79,CCCBr,-1.73
mol_801,CC(C)N(=O)=O,-0.62
mol_811,C1CCOCC1,-0.03
mol_816,ClCC(C)C,-2
mol_83,NC(=S)N,0.32
mol_831,Cc1ccc(Br)cc1,-3.19
mol_832,CCOCC,-0.09
mol_835,Cc1cc(C)c(O)c(C)c1,-2.05
mol_836,c1ccccc1,-1.64
mol_837,Clc1ccc(I)cc1,-4.03
mol_84,Cc1ccc(C)cc1,-2.77
mol_840,C=Cc1ccccc1,-2.82
mol_841,COCOC,0.48
mol_842,Cc1ccccc1C,-2.8
mol_843,CCC(C)O,0.47
mol_85,CCc1ccccc1CC,-3.28
mol_855,Clc1cccc(Cl)c1,-3.04
mol_858,c1ccccc1SC,-2.39
mol_86,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
mol_88,CCCN(=O)=O,-0.8
mol_882,CNc1ccccc1,-1.28
mol_883,C=CCC=C,-2.09
mol_888,Clc1cccc(Br)c1,-3.21
mol_898,CCc1ccccc1,-2.77
mol_907,Cc1cc2ccccc2cc1C,-4.72
mol_910,NC(N)=NC#N ,-0.31
mol_920,COC(=O)C,0.46
mol_935,C,-0.9
mol_94,CCCOC(C)C,-1.34
mol_941,CN(=O)=O,0.26
mol_954,C#C,0.29
mol_956,C1C=CCC=C1,-2.06
mol_959,CC(Cl)CCl,-1.6
mol_968,Cc1cc(C)cc(C)c1,-3.4
mol_973,CC(C)I,-2.09
mol_981,Fc1ccc(F)cc1,-1.97
mol_984,CCO,1.1
